20
130 11
856 9885 1
2138 5048 7
7787 9803 4
1577 9494 1
703 6931 11
5833 7378 4
8480 9768 10
4013 7129 6
3863 9897 5
7964 8275 11
3139 4367 2
3367 9106 9
5537 9565 11
104 8530 6
3200 6708 9
3348 5796 11
1825 7516 5
2360 7331 8
0 3875 10
844 3559 4
2318 5777 3
1435 7723 6
580 3300 6
8731 9112 9
409 7143 5
6442 9834 10
4238 7090 2
6378 6955 3
1014 5526 7
2995 8205 2
2604 4775 9
2882 6091 3
2383 4748 3
2103 5350 4
354 3081 5
1623 6253 3
8447 9937 6
3824 5521 8
686 6914 9
6652 8286 6
6446 8557 11
3466 4315 1
314 8144 8
5757 7267 10
2185 5617 6
3043 5343 1
3422 5880 4
1504 6243 8
2670 4053 2
2929 6193 9
9016 9303 10
5848 7528 9
321 2993 11
8598 9542 2
6030 6603 7
2621 8946 11
3493 4337 11
775 2344 8
8081 9619 9
3873 9237 5
1273 8369 10
3722 4097 9
5650 7008 3
150 8294 7
232 9430 6
4929 8223 8
3913 7484 3
7070 8808 1
5781 8296 6
484 2877 5
3654 6356 9
6785 8243 7
6777 7136 5
1664 1733 10
3534 6960 5
5386 6896 3
3834 5923 3
3828 5069 8
123 1111 5
1553 6880 3
4500 7571 5
2434 7900 1
5405 6829 10
4765 6163 6
5634 7379 9
2396 5517 9
4193 5134 2
1609 7521 3
7643 9346 2
3658 6952 10
8586 8755 4
3684 5149 9
1963 8824 9
7783 9825 5
1696 4204 6
5319 9134 2
4934 7042 11
3045 9049 8
179 3870 2
1610 3465 3
1559 2272 3
3526 9825 5
5876 9272 6
2394 8008 11
6391 6987 7
68 4575 8
820 1867 5
6559 9901 2
7312 9219 8
175 7660 10
1608 7415 3
3126 4967 1
3368 5979 10
3348 5802 1
5125 9271 4
4905 5754 7
3282 8164 1
4845 5986 11
2001 3480 9
625 5212 1
6916 6978 9
562 6040 4
2987 3166 3
3271 6592 1
4228 4877 2
40 4853 6
5272 8976 3
856 6485 4
3196 6091 4
7145 8041 2
465 1
226 2913 1
201 6590 1
2382 2627 1
1431 8073 1
2093 6578 1
2768 5342 1
2027 3096 1
548 4596 1
8779 9948 1
1125 1433 1
2230 5054 1
1314 9142 1
8226 9164 1
3093 6565 1
559 3102 1
630 3900 1
6115 7155 1
2556 5382 1
1444 2974 1
1783 8176 1
5552 7553 1
5563 9330 1
1851 7495 1
46 8642 1
869 5027 1
1985 2713 1
4651 5538 1
2337 8684 1
552 7152 1
2936 7997 1
2007 7358 1
334 9839 1
2521 7221 1
4569 6995 1
3317 6625 1
8903 9245 1
2890 7639 1
3591 6239 1
530 5797 1
5665 8771 1
4352 6037 1
1435 9393 1
1670 5843 1
2512 3529 1
276 6486 1
6028 7103 1
457 6636 1
4471 9239 1
2047 4969 1
804 5967 1
1425 4867 1
2327 8883 1
1168 4275 1
3750 7413 1
79 6297 1
5069 5533 1
2701 5352 1
2658 7774 1
405 4126 1
9193 9891 1
916 8411 1
8053 9524 1
1454 9789 1
2266 6181 1
2020 8552 1
3805 7979 1
2222 8752 1
4330 9580 1
4617 7733 1
621 5405 1
4081 9248 1
6724 9263 1
2615 4141 1
623 6671 1
7178 9502 1
8470 8906 1
3066 4014 1
4173 7318 1
3767 4796 1
4210 6688 1
911 5038 1
270 2106 1
346 6257 1
4760 6278 1
564 1825 1
4485 5137 1
4551 5233 1
2607 8973 1
195 8815 1
1763 2429 1
9468 9598 1
2100 8839 1
1895 6354 1
5608 8185 1
1235 8329 1
3799 6556 1
3415 6749 1
3398 7326 1
2176 2809 1
5935 7196 1
6057 6575 1
752 6807 1
2622 3607 1
5074 6395 1
4052 8131 1
1093 6198 1
5046 9627 1
2466 8117 1
4948 7911 1
1011 1178 1
2461 4031 1
2889 9165 1
4018 7366 1
6357 9378 1
785 4452 1
3253 3626 1
756 8673 1
4079 8541 1
2317 3920 1
4611 9316 1
1860 8887 1
1534 7663 1
7293 9290 1
3543 8862 1
5676 6120 1
6557 9605 1
8280 8636 1
8768 9789 1
3104 5163 1
563 7763 1
1400 6707 1
3155 3777 1
4338 6737 1
2093 4197 1
1028 1449 1
9840 9905 1
5668 6084 1
2754 9670 1
1715 3215 1
4554 9558 1
8553 9689 1
4023 7367 1
129 7039 1
7091 7461 1
2493 8150 1
6168 9579 1
2415 3394 1
2186 5731 1
5731 9920 1
5453 7918 1
1172 4213 1
4320 7863 1
5210 6448 1
1146 6791 1
5041 8544 1
2082 7148 1
1536 5372 1
1102 2087 1
407 9062 1
5831 7382 1
4665 7832 1
1237 3569 1
5069 5789 1
6404 7151 1
2786 9864 1
5048 7758 1
2081 7259 1
7348 9920 1
6683 8152 1
3382 6033 1
3278 5347 1
2743 8772 1
1370 3353 1
340 3729 1
73 5580 1
9042 9825 1
1531 6862 1
438 6997 1
6223 6519 1
670 3101 1
632 4857 1
9563 9908 1
8 3267 1
603 2923 1
1486 8285 1
3144 7246 1
2843 8895 1
1682 8688 1
5812 9556 1
491 8038 1
6949 7107 1
